ShippingGUID,ShippingID,DateShipped,ShippingCost,ShipMode,AddressGUID
f426f413-e5bb-4877-b714-ba5454c5931b,16,17/08/2010,7.29,Regular Air,bb1f0763-ab06-45b0-9330-13bacbb51137
2a3bc3ae-5159-4f0a-ad95-5ad6cf690d22,17,26/02/2012,3.37,Regular Air,3e50cf10-239b-4590-9389-b872ebdfed54
97123497-4aa3-44ee-80d3-00a15c325a09,18,14/05/2010,19.99,Regular Air,b6f42f04-5659-432e-a82d-a45c43dc99f2
4bd00621-02e2-4742-989f-33b68eaf142c,19,13/05/2010,2.31,Regular Air,b6f42f04-5659-432e-a82d-a45c43dc99f2
ecd8354d-1bd8-4861-9d7e-2c9c264fb923,20,13/05/2013,7.86,Regular Air,b6f42f04-5659-432e-a82d-a45c43dc99f2
524db253-eab1-45d7-b249-6cc8f6b8ff2c,21,09/04/2010,4.99,Regular Air,599b1b13-5d9d-48cc-81f4-f8fb3599b368
c8758720-17d0-4d45-91f1-6d5c0990d0b0,22,28/05/2010,6.66,Regular Air,599b1b13-5d9d-48cc-81f4-f8fb3599b368
4dd0000a-f4db-41dc-9c48-9c94f465bcdc,23,06/12/2011,0.7,Regular Air,599b1b13-5d9d-48cc-81f4-f8fb3599b368
016efcec-396f-4db7-9592-42ac6087aa56,24,01/05/2012,5.2,Regular Air,599b1b13-5d9d-48cc-81f4-f8fb3599b368
3878a0b0-c893-4eb6-a197-919e560e0e84,25,21/01/2013,4.0,Regular Air,599b1b13-5d9d-48cc-81f4-f8fb3599b368
43ded222-39f4-4cf0-8042-ee95538aaa7a,26,23/01/2013,6.89,Regular Air,599b1b13-5d9d-48cc-81f4-f8fb3599b368
d89bc6a8-74a9-4a05-9cdf-c0bf54cbd142,27,15/02/2010,1.58,Regular Air,48c9508c-07d4-468e-8d63-079eb7fff1d6
1322f130-562a-47b8-a1d1-ecf1f34ec098,28,14/02/2010,2.5,Regular Air,48c9508c-07d4-468e-8d63-079eb7fff1d6
75f7d5ca-5594-4653-bf2d-602a4c157034,29,15/02/2013,7.27,Express Air,48c9508c-07d4-468e-8d63-079eb7fff1d6
2cf3bc19-4f05-4774-9cd8-2bd87472c8ee,30,24/04/2011,2.27,Regular Air,09763aeb-fa8a-436e-8078-a6637a8a381f
4d77b5e0-540b-42da-8d64-c835b584e10b,31,08/04/2012,9.23,Express Air,09763aeb-fa8a-436e-8078-a6637a8a381f
66f6ba73-674d-447a-924a-dacd1988bb07,32,16/05/2010,6.93,Regular Air,24e46c2b-ac99-45ce-ab95-5b5e944209cb
e59d0dd8-5f35-4c52-9610-bbff4727df82,33,16/05/2012,4.62,Express Air,24e46c2b-ac99-45ce-ab95-5b5e944209cb
1a7d6173-7313-436f-b995-b3a92deddb2b,34,15/05/2012,8.94,Express Air,24e46c2b-ac99-45ce-ab95-5b5e944209cb
fc95c419-123b-4ba6-85f3-e964c3fecb4b,35,22/05/2013,3.39,Regular Air,24e46c2b-ac99-45ce-ab95-5b5e944209cb
ad0619f6-2018-4946-ad00-bb6d89053997,36,04/10/2013,30.0,Delivery Truck,24e46c2b-ac99-45ce-ab95-5b5e944209cb
4fb75201-4d4c-4991-93a6-6ffcf74a83c0,37,04/10/2013,0.5,Regular Air,24e46c2b-ac99-45ce-ab95-5b5e944209cb
a5c1f083-4cc8-47af-813b-564ccfb5ee70,38,23/05/2010,9.44,Regular Air,b1c48dac-ad16-4a5d-92bf-355d3670e7fb
a87fec75-66eb-4568-86e6-1e5cc40bcd01,39,02/06/2012,35.0,Express Air,c0198a0c-611f-454e-bf35-7af7c827ce94
fe027cb7-5568-4eef-b5d8-4e66c860ecaa,40,01/06/2012,27.75,Delivery Truck,c0198a0c-611f-454e-bf35-7af7c827ce94
e0a8ec45-ffff-43ab-a7f3-0c949e78a749,41,08/03/2013,17.08,Regular Air,c0198a0c-611f-454e-bf35-7af7c827ce94
7a8cfe73-c0c4-44a9-8b02-cd13b76e0184,42,16/05/2010,6.93,Regular Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
8c81512b-6e67-4291-b598-fe9a51a4d7ec,43,22/05/2010,3.39,Regular Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
10f97918-47f8-4364-a3eb-8ac788d84c9b,44,23/05/2010,9.44,Regular Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
c8b08c17-9b1a-47b4-b63e-3a1d43834868,45,08/03/2011,17.08,Regular Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
34886cd8-10b8-492b-851a-ffab81c68a57,46,24/04/2011,2.27,Regular Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
12ef0316-68f5-4457-8c72-6ca4e7d4057c,47,08/04/2012,9.23,Express Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
d69a3eba-7021-4d58-92e1-534bbcf6ca20,48,16/05/2012,4.62,Express Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
0b7e2888-34c6-4fd2-b078-c986863a5096,49,15/05/2012,8.94,Express Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
eafff273-b630-4b53-98b3-cbd90d5f17b5,50,02/06/2012,35.0,Express Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
bebfca8d-b479-4f2c-8b81-518530659b3a,51,01/06/2012,27.75,Delivery Truck,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
4c8b598b-5cf4-4a8b-a58f-ba8a01fdfea3,52,04/10/2013,30.0,Delivery Truck,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
d4b881e4-299b-4f54-a820-d62b938c3ab9,53,04/10/2013,0.5,Regular Air,b1a02404-21c4-4a69-8d9f-e464e42ec8f1
7f20332f-7425-4188-9ab5-cd062f0694b3,54,12/11/2011,5.0,Regular Air,974c06ef-9825-4aa0-b754-11542a3af660
39609177-a6ad-46aa-bef1-8f0ce93c2e37,55,13/09/2012,5.47,Express Air,974c06ef-9825-4aa0-b754-11542a3af660
2d8b755a-e451-4f2f-92c0-32c265c83dc9,56,25/11/2013,80.2,Delivery Truck,974c06ef-9825-4aa0-b754-11542a3af660
a16c3f59-88e9-4e2f-ba83-bc1651374ee8,57,29/01/2010,14.3,Regular Air,1308fdbc-74ad-4be2-ba27-44d1fed31160
7bca4726-3643-4550-ae7b-9dadf331eaa3,58,30/01/2010,1.57,Regular Air,1308fdbc-74ad-4be2-ba27-44d1fed31160
3e3bc84f-1b8c-4feb-9169-796bc337db63,59,04/03/2012,2.5,Regular Air,1308fdbc-74ad-4be2-ba27-44d1fed31160
4e2c6bb5-ebd3-4fa8-9e36-c7a25e8e834b,60,20/12/2012,8.99,Regular Air,1308fdbc-74ad-4be2-ba27-44d1fed31160
f06a6fce-686e-48fe-8b47-0d9155e2f347,61,14/01/2013,6.96,Regular Air,1308fdbc-74ad-4be2-ba27-44d1fed31160
8f25805f-2c0c-4a18-b7a7-74997d2b14df,62,20/04/2012,3.85,Regular Air,d11501d9-ac10-488d-b2d8-81ffbd4809b1
fa888400-eaeb-4670-98ce-a145fff2c0b6,63,04/07/2013,5.37,Regular Air,d11501d9-ac10-488d-b2d8-81ffbd4809b1
259099f3-c3c9-418c-8de7-5e1e3f21746d,64,29/06/2012,3.99,Regular Air,d854324d-51b4-449d-8808-fc79b5de80b2
62e78e54-b35a-47f0-b361-9243e455b394,65,03/09/2013,0.5,Express Air,d854324d-51b4-449d-8808-fc79b5de80b2
ff20f62d-3f43-43b8-ac8d-cf66283da0ee,66,12/12/2013,0.5,Regular Air,d854324d-51b4-449d-8808-fc79b5de80b2
2a0a1181-0a28-493b-af92-54c7f8172bc7,67,04/11/2010,6.6,Regular Air,e3a20e1d-e03c-4d69-bc5c-0a26c6412261
7d0370cb-2a71-4f93-8b85-b1c379ca72ce,68,14/07/2012,19.99,Regular Air,e3a20e1d-e03c-4d69-bc5c-0a26c6412261
8ca24d48-814c-4fdb-8fd1-dd7b0edf4d17,69,17/07/2012,14.3,Regular Air,e3a20e1d-e03c-4d69-bc5c-0a26c6412261
430c60f9-617d-4280-96c2-0bffb71dd22d,70,26/10/2012,7.96,Express Air,e3a20e1d-e03c-4d69-bc5c-0a26c6412261
0061d658-e1ba-42fa-8de8-a4c414645906,71,28/10/2012,5.3,Regular Air,e3a20e1d-e03c-4d69-bc5c-0a26c6412261
5fa102d3-cbdb-4319-b63a-19c5bf03609e,72,04/11/2013,8.99,Regular Air,e3a20e1d-e03c-4d69-bc5c-0a26c6412261
73a38f75-fca7-4fb5-bedc-0f44fc4e91e6,73,23/01/2011,0.7,Regular Air,cfb5b1c0-eb42-408c-b1ce-c5c1b892974b
91961ce4-ee11-4c38-a775-01ec1032a76f,74,16/04/2013,11.79,Regular Air,cfb5b1c0-eb42-408c-b1ce-c5c1b892974b
74cbfc11-d05e-4446-a247-920db55a478e,75,01/02/2011,3.9,Regular Air,f12f092b-fd31-4575-aa81-d1f94fc779f0
5cddd3e0-0d09-4cea-997b-aa5fb5c28e87,76,31/01/2013,0.99,Regular Air,f12f092b-fd31-4575-aa81-d1f94fc779f0
fc1a6b69-8b9c-47e9-80a8-8aa70174e2c8,77,13/08/2012,6.65,Regular Air,c67c6bbc-07f1-4160-a01c-71f2a9f76fa3
2b87d0f2-956c-4dfc-9625-9134c75bed00,78,23/02/2010,7.73,Regular Air,11d11676-ae7f-4381-a81f-c9fd42553ef6
9203ffcd-932f-4884-a80c-5416c4857fb0,79,28/03/2010,8.51,Regular Air,11d11676-ae7f-4381-a81f-c9fd42553ef6
d90692ee-0415-4a06-bc0c-29ada9ca0351,80,22/07/2010,7.69,Express Air,11d11676-ae7f-4381-a81f-c9fd42553ef6
6d1b5384-f5f6-4420-929b-a9fe724d0694,81,19/09/2010,8.99,Regular Air,11d11676-ae7f-4381-a81f-c9fd42553ef6
b4015c72-a0c9-48e9-a822-b2b0da56913d,82,08/10/2011,2.01,Regular Air,11d11676-ae7f-4381-a81f-c9fd42553ef6
a578d8ae-410d-43d6-8d7e-dd696df3c0a2,83,14/06/2013,49.0,Delivery Truck,11d11676-ae7f-4381-a81f-c9fd42553ef6
1f765100-9f52-4a71-9227-52cafba5e4ec,84,17/06/2010,5.41,Regular Air,02247289-7c6a-4217-abf5-2212c0e225d5
f58e1542-6760-4f00-b155-66f854a13f5e,85,16/06/2010,0.7,Regular Air,02247289-7c6a-4217-abf5-2212c0e225d5
1f1c5263-de8d-4bdd-884a-299d059e0863,86,27/01/2012,5.24,Regular Air,02247289-7c6a-4217-abf5-2212c0e225d5
f32109b4-0ff3-4dcf-b5b5-e8551ca49aa2,87,18/08/2013,30.0,Delivery Truck,02247289-7c6a-4217-abf5-2212c0e225d5
271e4f4c-27ce-4ae3-99d2-aa451bbbacc6,88,18/08/2013,4.7,Regular Air,02247289-7c6a-4217-abf5-2212c0e225d5
b1ea50f2-ac36-4dcc-a58e-e883d1e2350e,89,28/11/2012,24.49,Regular Air,f7a74da1-84ee-4318-8225-7f106e2a960c
06e7fe73-4960-44a2-b3fb-d4e83d27a7c9,90,02/06/2013,3.99,Regular Air,f7a74da1-84ee-4318-8225-7f106e2a960c
8d8d0d0d-e6df-4cad-b205-0852da8657b2,91,29/11/2012,4.39,Express Air,8f65372b-1f80-4dc5-b1e4-203c710e157d
c17605ce-38a7-4531-8f78-5563ded2e2c6,92,29/11/2012,6.15,Regular Air,8f65372b-1f80-4dc5-b1e4-203c710e157d
3ae8d2fc-ab28-4109-8113-f8e70ce7715f,93,30/11/2012,5.67,Regular Air,075cecd8-e95f-49d1-9473-04d90f9d0090
c1ee9fd5-4ebc-47e7-ad7e-a9610d6ba817,94,04/07/2011,1.57,Regular Air,e50f39f7-5e63-460a-b69f-c088c964e86e
174bf3e1-d314-44ec-9444-d248c81641c0,95,05/07/2011,2.35,Regular Air,e50f39f7-5e63-460a-b69f-c088c964e86e
01261bee-2188-42d7-b0c6-47b9b8654914,96,15/06/2013,8.99,Express Air,e50f39f7-5e63-460a-b69f-c088c964e86e
c6108503-9ecb-41f1-8a69-e9cb9e480347,97,23/03/2013,6.5,Regular Air,7e60b30b-8b4a-4682-bea1-f138d9e01427
c4d2357e-8c48-4179-82ef-3207c84048be,98,06/11/2012,4.99,Regular Air,e41b5382-f5d7-4cb1-b807-c4a5ee6df946
8e70ed0d-fb9e-42ae-bc26-81c357989b9e,99,29/11/2013,7.96,Regular Air,e41b5382-f5d7-4cb1-b807-c4a5ee6df946
c523ab11-74da-48bb-a10b-a047db2f2aeb,100,27/11/2013,1.25,Regular Air,e41b5382-f5d7-4cb1-b807-c4a5ee6df946
f1fc1bce-c3fd-4892-9e93-1dd0c5c8333b,101,11/11/2010,19.99,Regular Air,f274b22a-c282-4823-b023-5d30a5eafdaf
61bfbaba-b541-46fb-a5f6-566a05a25e8b,102,04/03/2013,3.98,Regular Air,f274b22a-c282-4823-b023-5d30a5eafdaf
32231008-19d5-4980-ab26-8e309d30e68f,103,01/09/2013,58.2,Delivery Truck,f274b22a-c282-4823-b023-5d30a5eafdaf
43dd9fa6-b176-49ed-bcbc-38692b0c2e66,104,26/02/2012,3.99,Regular Air,4658cfbc-42af-4cee-b212-e8ca6d7fbb19
bfd1ac6b-d1b6-4391-8502-cd8799df4615,105,23/09/2012,3.37,Regular Air,4658cfbc-42af-4cee-b212-e8ca6d7fbb19
b19c573b-a7eb-4923-b086-09d2ec522264,106,25/09/2012,4.0,Regular Air,c0764e13-0c41-41bb-9364-ca77950cecf1
93b4b4df-3ede-4cd8-9d01-bbccef5d6cd4,107,15/08/2011,8.51,Regular Air,9a00e4cc-84f1-49c2-9686-a29b3c11f948
b8531933-729d-436d-8e9f-d100a846709d,108,16/08/2012,0.5,Regular Air,9a00e4cc-84f1-49c2-9686-a29b3c11f948
443e4107-d05e-4864-b3b4-d82270571730,109,11/10/2012,0.49,Regular Air,9a00e4cc-84f1-49c2-9686-a29b3c11f948
58439d8c-a14a-4f22-8d20-a00b459d7088,110,12/01/2013,1.99,Regular Air,9a00e4cc-84f1-49c2-9686-a29b3c11f948
ddbf12df-58f5-4d85-8e2a-b704bfa4413e,111,29/03/2011,0.99,Regular Air,c67fb2fd-ff65-4567-8af3-440a0947552f
e3858e20-df28-450a-bfd7-7af5dab5c22f,112,19/05/2011,1.39,Express Air,c67fb2fd-ff65-4567-8af3-440a0947552f
a6544aa7-4936-4744-9e63-d38cb23ef30a,113,17/08/2011,4.98,Regular Air,c67fb2fd-ff65-4567-8af3-440a0947552f
daa3bacd-02eb-4498-9094-8bcd7117fd83,114,19/02/2013,5.31,Regular Air,c67fb2fd-ff65-4567-8af3-440a0947552f
3914a211-a973-4ea4-a1a4-0bd54c82542a,115,03/03/2013,4.0,Regular Air,c67fb2fd-ff65-4567-8af3-440a0947552f
0d10aa21-d0b6-40a0-9926-39ec2fa0686b,116,14/03/2013,15.59,Delivery Truck,c67fb2fd-ff65-4567-8af3-440a0947552f
cd84b7dc-5417-4529-bc11-b28abb03b6dd,117,07/10/2013,2.4,Regular Air,c67fb2fd-ff65-4567-8af3-440a0947552f
bdd5bfc7-09d5-4cbd-ac97-258fc05ba20d,118,08/10/2013,7.51,Regular Air,c67fb2fd-ff65-4567-8af3-440a0947552f
1390b126-60c4-4a02-8f25-f8e668ece02c,119,01/04/2011,24.49,Regular Air,b2749e13-6360-4e05-b92e-a96e763d41ac
d08d7e9b-1841-48e9-a2d8-baea434c9a7c,120,10/09/2010,2.5,Regular Air,911d2916-6a66-41d8-a665-92e2f0559a3d
328846c2-5e3b-4f6d-acc0-5f4bc25cb855,121,11/09/2011,1.99,Regular Air,911d2916-6a66-41d8-a665-92e2f0559a3d
07acd9cc-1886-4b63-a5c6-12f67abefe3d,122,07/11/2012,3.68,Regular Air,911d2916-6a66-41d8-a665-92e2f0559a3d
65a944b0-dab9-4b63-a0dd-5e307e814b09,123,30/07/2010,8.73,Delivery Truck,34618cd7-06d7-4a18-868c-1ce39a7ccbeb
3f6edb4c-5bed-491c-81c5-bf9a967c27d8,124,11/09/2010,5.79,Regular Air,34618cd7-06d7-4a18-868c-1ce39a7ccbeb
39c05589-e6c2-4185-82ca-6067f2a4dd75,125,21/02/2013,0.99,Regular Air,34618cd7-06d7-4a18-868c-1ce39a7ccbeb
70652c34-e047-48b4-ae0f-971f4374bcdf,126,07/10/2011,46.59,Delivery Truck,96053bd7-bc87-4fd4-93ff-349960d85d3b
bca6fbc9-8f64-4132-9cb7-ea315e6826f5,127,25/10/2011,54.74,Delivery Truck,96053bd7-bc87-4fd4-93ff-349960d85d3b
31b3e5dc-43e8-4d43-b00d-124740ce5488,128,10/04/2013,3.73,Regular Air,96053bd7-bc87-4fd4-93ff-349960d85d3b
c4f79641-5047-4881-8622-671b174c40d5,129,14/04/2013,69.0,Express Air,96053bd7-bc87-4fd4-93ff-349960d85d3b
fdea85f3-f4b8-40f4-bc61-d0b82790a093,130,21/10/2010,1.49,Regular Air,7a58b770-ba24-4fcf-ba69-9339402dceb7
048c3ff6-321b-471d-a4c9-ca8e8d304043,131,27/10/2011,3.01,Regular Air,7a58b770-ba24-4fcf-ba69-9339402dceb7
cb5d3cc5-6f57-4acd-800d-064efa6f674c,132,13/01/2013,1.2,Express Air,7a58b770-ba24-4fcf-ba69-9339402dceb7
55d2b15e-735d-4f5b-8d9a-d6c34a65921c,133,09/02/2013,9.92,Regular Air,7a58b770-ba24-4fcf-ba69-9339402dceb7
f80b0ece-2f7b-49a1-b08b-5c74ca465c66,134,30/12/2013,19.99,Regular Air,7a58b770-ba24-4fcf-ba69-9339402dceb7
014dfdab-2e0c-4b70-9de8-5364bba28e3b,135,29/12/2013,8.99,Regular Air,7a58b770-ba24-4fcf-ba69-9339402dceb7
9412ef86-8838-413b-93b5-77b04cb97030,136,23/01/2012,7.95,Regular Air,b3d29927-8010-424c-b06d-e62050636846
21c900a7-b971-494b-b735-92e030e87c7f,137,25/02/2013,6.81,Express Air,8914f8b0-bdbf-4302-9b5f-ac8c0ddbcff1
0bff6c52-5072-472a-bfc4-f0960f20f0c7,138,25/02/2013,0.97,Regular Air,8914f8b0-bdbf-4302-9b5f-ac8c0ddbcff1
8e50e0c8-106e-41e9-bc8f-7bec94fad43f,139,15/03/2013,5.13,Regular Air,8914f8b0-bdbf-4302-9b5f-ac8c0ddbcff1
e3894d44-81e1-4a20-a483-1f87638bc832,140,04/04/2013,57.2,Delivery Truck,8914f8b0-bdbf-4302-9b5f-ac8c0ddbcff1
aa3ee637-41b1-4179-b574-0a60397e8789,141,04/04/2013,35.0,Regular Air,8914f8b0-bdbf-4302-9b5f-ac8c0ddbcff1
3bbf38fe-18b8-40d5-b77c-ae619c4686e2,142,12/06/2012,2.99,Regular Air,d5bf4c4a-facc-41d6-aa13-c4953d7a7029
2ad1c7cc-4d73-4cf6-a6ec-064224737185,143,21/07/2013,42.0,Delivery Truck,d5bf4c4a-facc-41d6-aa13-c4953d7a7029
03a75f30-bbf3-41a2-a60a-f75208b76678,144,18/11/2011,55.81,Delivery Truck,852b6b6c-1698-4efb-b868-8e8a8c770168
6f8298cf-8b9b-4be6-b0de-ebaadca5f452,145,16/10/2012,1.82,Regular Air,852b6b6c-1698-4efb-b868-8e8a8c770168
b1b38dca-643a-4793-95ca-e7c093b4c12f,146,16/02/2013,1.09,Regular Air,852b6b6c-1698-4efb-b868-8e8a8c770168
6831cba7-01fb-4244-aab2-bffc8704efb2,147,03/03/2013,5.86,Regular Air,852b6b6c-1698-4efb-b868-8e8a8c770168
4c420fe1-ca29-463e-a8e1-bb7aa3aa9c6f,148,14/11/2013,1.99,Regular Air,852b6b6c-1698-4efb-b868-8e8a8c770168
7d744b2e-30d7-4ba3-90a9-a6f01dc382a6,149,12/11/2013,1.99,Regular Air,852b6b6c-1698-4efb-b868-8e8a8c770168
f7cbf881-3b76-4702-89a1-a623bd4ae0e7,150,11/11/2010,5.15,Regular Air,9da76ad2-e6f3-4f6a-9f99-1d488e8fa8c9
9251d247-1658-4deb-8a8a-e27ddb245d30,151,14/12/2010,4.86,Regular Air,9da76ad2-e6f3-4f6a-9f99-1d488e8fa8c9
2fb6730c-2a9e-4153-b9ae-3617a1dbbbfa,152,12/03/2013,2.27,Regular Air,9da76ad2-e6f3-4f6a-9f99-1d488e8fa8c9
8d7cc39c-da86-4656-9a17-35c058d79e7f,153,14/12/2013,11.52,Regular Air,9da76ad2-e6f3-4f6a-9f99-1d488e8fa8c9
6bc00e3d-e7f5-4cb9-9cc2-bf40dc2d6a4f,154,16/03/2013,3.5,Regular Air,5941d22f-5197-4672-bf7b-8e316113f22b
41ff7c19-bac3-4787-942a-0d41846a801b,155,09/05/2013,3.99,Express Air,5941d22f-5197-4672-bf7b-8e316113f22b
fc707ad6-3236-42ec-b9c6-dffc363b7752,156,07/05/2013,5.31,Regular Air,5941d22f-5197-4672-bf7b-8e316113f22b
06b00461-6767-486e-a206-c04447c173cc,157,11/06/2013,0.96,Regular Air,5941d22f-5197-4672-bf7b-8e316113f22b
c435a9b1-2cb8-4c46-bbfa-797715862a27,158,14/06/2013,13.99,Regular Air,5941d22f-5197-4672-bf7b-8e316113f22b
0d0c6dcd-b04c-41a0-aba4-91de5f4d14f8,159,04/03/2010,0.5,Regular Air,24cf0163-8b0b-48b9-a1e0-7ab5e46c71aa
6bfcdbb9-e121-422c-95af-ce6e5683c97c,160,02/03/2010,4.99,Express Air,24cf0163-8b0b-48b9-a1e0-7ab5e46c71aa
37748d0f-2bcc-46df-b780-4e2b411e1636,161,04/03/2013,39.61,Regular Air,24cf0163-8b0b-48b9-a1e0-7ab5e46c71aa
2e3e40c3-c26d-4d5b-aba7-a44ae69e4e78,162,28/08/2013,5.0,Regular Air,24cf0163-8b0b-48b9-a1e0-7ab5e46c71aa
1b44c6d4-6fc6-48bb-850c-684c59323ff5,163,03/05/2012,19.99,Regular Air,0df27b85-a958-4da9-9329-0643469e4710
ed3e30ce-1827-4c29-b16d-ff91c038df11,164,04/05/2012,19.99,Regular Air,f8411968-4da2-4651-9ac9-d78cb4082d2e
e1421d40-1a52-490f-b553-23da284cd766,165,13/06/2013,2.15,Regular Air,f8411968-4da2-4651-9ac9-d78cb4082d2e
ec93dad3-efe5-4db3-8631-be3c4d10a667,166,09/01/2010,7.07,Regular Air,c9ad7741-7bef-429e-876e-d5c4cfeb9874
0c4659e7-9d83-4ab6-9d04-b36af0813ea0,167,02/01/2013,48.8,Delivery Truck,c9ad7741-7bef-429e-876e-d5c4cfeb9874
81995696-90d0-4086-a0c1-c7b913e29936,168,04/01/2013,45.0,Delivery Truck,c9ad7741-7bef-429e-876e-d5c4cfeb9874
e99f8e51-1616-4ab5-b880-41bb6e163ded,169,14/03/2013,19.99,Regular Air,c9ad7741-7bef-429e-876e-d5c4cfeb9874
7d341e76-4623-43d5-9c11-94433c177a74,170,02/01/2010,48.8,Delivery Truck,61a4716c-4ad0-4aa3-9829-0f2180ba3466
1201bde5-ad1f-428e-ac66-1924d1471c4f,171,04/01/2010,45.0,Delivery Truck,61a4716c-4ad0-4aa3-9829-0f2180ba3466
11e6b245-3e34-4cb7-8b45-9c4502fffdba,172,09/01/2010,7.07,Regular Air,61a4716c-4ad0-4aa3-9829-0f2180ba3466
2d436188-af97-444a-9c36-f6bff054bc20,173,04/02/2010,70.2,Delivery Truck,61a4716c-4ad0-4aa3-9829-0f2180ba3466
a79bebbf-ee27-4aa0-8bf5-790b5332b2c2,174,03/05/2012,19.99,Regular Air,61a4716c-4ad0-4aa3-9829-0f2180ba3466
6a3ea022-bb70-4d28-9f3f-a32120e9e8d1,175,04/05/2012,19.99,Regular Air,61a4716c-4ad0-4aa3-9829-0f2180ba3466
1e36ed9d-ad2f-4524-bf59-7690d570d421,176,14/03/2013,19.99,Regular Air,61a4716c-4ad0-4aa3-9829-0f2180ba3466
14eacff7-6478-4386-b900-dc266f0d3ca6,177,13/06/2013,2.15,Regular Air,61a4716c-4ad0-4aa3-9829-0f2180ba3466
75a73f50-2a34-46ad-b6ed-11279ac5d3b5,178,03/05/2012,4.2,Regular Air,69c383c2-8b02-4979-b9c4-35f616432e24
b540312a-a4a2-4fec-aeef-e1849a2a2452,179,04/02/2010,70.2,Delivery Truck,5e75bf24-90a1-4976-9d09-848e52ee7a86
f13e43d6-7f51-4a10-abe4-4ddc5419f5cd,180,19/08/2012,2.0,Express Air,d9c43311-a598-4132-aa2c-201a6eb33e2b
3d4e850a-a198-48e1-9c64-edadc11d9aae,181,30/10/2013,8.18,Regular Air,38cfb0e7-b4a9-4b35-a408-7c59893d1ab5
d0813d50-b274-4f02-b540-f2bb19fb08c7,182,12/12/2012,5.94,Regular Air,e7d67da1-f4eb-4117-b431-039d35bed787
ed82ee1b-697f-4822-9349-f9a72f9455f1,183,13/04/2012,8.99,Express Air,de4042b9-526a-4916-a11e-de5f324b0d6d
628cd972-4837-4e47-8992-3847d26ae502,184,12/04/2012,5.5,Regular Air,f685af06-c0a5-49c4-a9c6-782cdc600b4d
a54fba93-1189-480f-be96-2605e80afb54,185,13/04/2012,8.73,Regular Air,90d09f92-ba45-462c-961b-896c5814b36f
e21eb052-efe0-4bb4-8ab8-a4acf16835ec,186,12/04/2012,11.17,Regular Air,bc36381f-73be-40cb-af29-a2e7e400e8b8
20d30d22-e061-4c33-9470-f3fb3529f0ad,187,06/02/2011,30.0,Delivery Truck,d6f976bd-4b79-49e0-b7f5-0cce3266a8aa
5e2109bc-54ae-4bab-a7c3-7db0a59f1d63,188,20/05/2011,4.17,Regular Air,d6f976bd-4b79-49e0-b7f5-0cce3266a8aa
